Ciudad,CÃ³digo DANE ciudad,Departamento,Ciudad - Departamento,Repeticiones Ciudad
FUENTE DE ORO,50287,META,FUENTE DE ORO - META,0
FUNDACION,47288,MAGDALENA,FUNDACION - MAGDALENA,0
FUNES,52287,NARIÑO,FUNES - NARIÑO,0
FUNZA,25286,CUNDINAMARCA,FUNZA - CUNDINAMARCA,0
FUQUENE,25288,CUNDINAMARCA,FUQUENE - CUNDINAMARCA,0
FUSAGASUGA,25290,CUNDINAMARCA,FUSAGASUGA - CUNDINAMARCA,0
GACHALA,25293,CUNDINAMARCA,GACHALA - CUNDINAMARCA,0
GACHANCIPA,25295,CUNDINAMARCA,GACHANCIPA - CUNDINAMARCA,0
GACHANTIVA,15293,BOYACA,GACHANTIVA - BOYACA,0
GACHETA,25297,CUNDINAMARCA,GACHETA - CUNDINAMARCA,0
GALAN,68296,SANTANDER,GALAN - SANTANDER,0
GALAPA,08296,ATLANTICO,GALAPA - ATLANTICO,0
GALERAS,70235,SUCRE,GALERAS - SUCRE,0
GAMA,25299,CUNDINAMARCA,GAMA - CUNDINAMARCA,0
GAMARRA,20295,CESAR,GAMARRA - CESAR,0
GAMBITA,68298,SANTANDER,GAMBITA - SANTANDER,0
GAMEZA,15296,BOYACA,GAMEZA - BOYACA,0
GARAGOA,15299,BOYACA,GARAGOA - BOYACA,0
GARZON,41298,HUILA,GARZON - HUILA,0
GENOVA,63302,QUINDIO,GENOVA - QUINDIO,0
GIGANTE,41306,HUILA,GIGANTE - HUILA,0
GINEBRA,76306,VALLE DEL CAUCA,GINEBRA - VALLE DEL CAUCA,0
GIRALDO,05306,ANTIOQUIA,GIRALDO - ANTIOQUIA,0
GIRARDOT,25307,CUNDINAMARCA,GIRARDOT - CUNDINAMARCA,0
GIRARDOTA,05308,ANTIOQUIA,GIRARDOTA - ANTIOQUIA,0
GIRON,68307,SANTANDER,GIRON - SANTANDER,0
GOMEZ PLATA,05310,ANTIOQUIA,GOMEZ PLATA - ANTIOQUIA,0
GONZALEZ,20310,CESAR,GONZALEZ - CESAR,0
GRAMALOTE,54313,NORTE DE SANTANDER,GRAMALOTE - NORTE DE SANTANDER,0
GRANADA,05313,ANTIOQUIA,GRANADA - ANTIOQUIA,1
GRANADA,25312,CUNDINAMARCA,GRANADA - CUNDINAMARCA,2
GRANADA,50313,META,GRANADA - META,3
GUACA,68318,SANTANDER,GUACA - SANTANDER,0
GUACAMAYAS,15317,BOYACA,GUACAMAYAS - BOYACA,0
GUACARI,76318,VALLE DEL CAUCA,GUACARI - VALLE DEL CAUCA,0
GUACHETA,25317,CUNDINAMARCA,GUACHETA - CUNDINAMARCA,0
GUACHUCAL,52317,NARIÑO,GUACHUCAL - NARIÑO,0
GUADALAJARA DE BUGA,76111,VALLE DEL CAUCA,GUADALAJARA DE BUGA - VALLE DEL CAUCA,0
GUADALUPE,05315,ANTIOQUIA,GUADALUPE - ANTIOQUIA,1
GUADALUPE,41319,HUILA,GUADALUPE - HUILA,2
GUADALUPE,68320,SANTANDER,GUADALUPE - SANTANDER,3
GUADUAS,25320,CUNDINAMARCA,GUADUAS - CUNDINAMARCA,0
GUAITARILLA,52320,NARIÑO,GUAITARILLA - NARIÑO,0
GUALMATAN,52323,NARIÑO,GUALMATAN - NARIÑO,0
GUAMAL,47318,MAGDALENA,GUAMAL - MAGDALENA,1
GUAMAL,50318,META,GUAMAL - META,2
GUAMO,73319,TOLIMA,GUAMO - TOLIMA,0
GUAPI,19318,CAUCA,GUAPI - CAUCA,0
GUAPOTA,68322,SANTANDER,GUAPOTA - SANTANDER,0
GUARANDA,70265,SUCRE,GUARANDA - SUCRE,0
GUARNE,05318,ANTIOQUIA,GUARNE - ANTIOQUIA,0
GUASCA,25322,CUNDINAMARCA,GUASCA - CUNDINAMARCA,0
GUATAPE,05321,ANTIOQUIA,GUATAPE - ANTIOQUIA,0
GUATAQUI,25324,CUNDINAMARCA,GUATAQUI - CUNDINAMARCA,0
GUATAVITA,25326,CUNDINAMARCA,GUATAVITA - CUNDINAMARCA,0
GUATEQUE,15322,BOYACA,GUATEQUE - BOYACA,0
GUATICA,66318,RISARALDA,GUATICA - RISARALDA,0
GUAVATA,68324,SANTANDER,GUAVATA - SANTANDER,0
GUAYABAL DE SIQUIMA,25328,CUNDINAMARCA,GUAYABAL DE SIQUIMA - CUNDINAMARCA,0
GUAYABETAL,25335,CUNDINAMARCA,GUAYABETAL - CUNDINAMARCA,0
GUAYATA,15325,BOYACA,GUAYATA - BOYACA,0
GÜEPSA,68327,SANTANDER,GÜEPSA - SANTANDER,0
GÜICAN,15332,BOYACA,GÜICAN - BOYACA,0
GUTIERREZ,25339,CUNDINAMARCA,GUTIERREZ - CUNDINAMARCA,0
HACARI,54344,NORTE DE SANTANDER,HACARI - NORTE DE SANTANDER,0
HATILLO DE LOBA,13300,BOLIVAR,HATILLO DE LOBA - BOLIVAR,0
HATO,68344,SANTANDER,HATO - SANTANDER,0
HATO COROZAL,85125,CASANARE,HATO COROZAL - CASANARE,0
HATONUEVO,44378,LA GUAJIRA,HATONUEVO - LA GUAJIRA,0
HELICONIA,05347,ANTIOQUIA,HELICONIA - ANTIOQUIA,0
HERRAN,54347,NORTE DE SANTANDER,HERRAN - NORTE DE SANTANDER,0
HERVEO,73347,TOLIMA,HERVEO - TOLIMA,0
HISPANIA,05353,ANTIOQUIA,HISPANIA - ANTIOQUIA,0
HOBO,41349,HUILA,HOBO - HUILA,0
HONDA,73349,TOLIMA,HONDA - TOLIMA,0
IBAGUE,73001,TOLIMA,IBAGUE - TOLIMA,0
